"","fips_code","state","county","high_school_diploma_only_2000","some_college_or_associates_degree_2000","bachelors_degree_or_higher_2000","percent_of_adults_with_less_than_a_high_school_diploma_2000","percent_of_adults_with_a_high_school_diploma_only_2000","percent_of_adults_completing_some_college_or_associates_degree_2000","percent_of_adults_with_a_bachelors_degree_or_higher_2000","less_than_a_high_school_diploma_2015_19","high_school_diploma_only_2015_19","some_college_or_associates_degree_2015_19","bachelors_degree_or_higher_2015_19","percent_of_adults_with_less_than_a_high_school_diploma_2015_19","percent_of_adults_with_a_high_school_diploma_only_2015_19","percent_of_adults_completing_some_college_or_associates_degree_2015_19","percent_of_adults_with_a_bachelors_degree_or_higher_2015_19"
"1",2000,"AK","Alaska",105812,135655,93807,11.7,27.9,35.7,24.7,34376,134582,169609,142019,7.2,28,35.3,29.6
"2",2010,"AK","Aleutian Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2013,"AK","Aleutians East Borough",983,419,98,25.3,49,20.9,4.9,380,1137,798,301,14.5,43.5,30.5,11.5
"4",2016,"AK","Aleutians West Census Area",1462,1407,469,21.5,34.4,33.1,11,435,1611,1378,703,10.5,39,33.4,17
"5",2020,"AK","Anchorage Municipality",38741,59428,46240,9.7,24.2,37.2,28.9,11701,44936,65951,69282,6.1,23.4,34.4,36.1
"6",2050,"AK","Bethel Census Area",3098,1548,1050,29,38.6,19.3,13.1,1871,4550,2216,1164,19.1,46.4,22.6,11.9
"7",2060,"AK","Bristol Bay Borough",266,264,165,11.1,34,33.8,21.1,38,235,219,143,6,37,34.5,22.5
"8",2068,"AK","Denali Borough",400,508,299,8.3,30.4,38.6,22.7,25,423,511,668,1.5,26,31.4,41.1
"9",2070,"AK","Dillingham Census Area",900,699,436,23.4,33.9,26.3,16.4,396,1078,782,639,13.7,37.2,27,22.1
"10",2090,"AK","Fairbanks North Star Borough",12240,18848,12968,8.2,25.5,39.3,27,3406,13993,25045,19402,5.5,22.6,40.5,31.4
