"","fips","county_name","state_abbr","state_name"
"1",1001,"Autauga","AL","Alabama"
"2",1003,"Baldwin","AL","Alabama"
"3",1005,"Barbour","AL","Alabama"
"4",1007,"Bibb","AL","Alabama"
"5",1009,"Blount","AL","Alabama"
"6",1011,"Bullock","AL","Alabama"
"7",1013,"Butler","AL","Alabama"
"8",1015,"Calhoun","AL","Alabama"
"9",1017,"Chambers","AL","Alabama"
"10",1019,"Cherokee","AL","Alabama"
"11",1021,"Chilton","AL","Alabama"
"12",1023,"Choctaw","AL","Alabama"
"13",1025,"Clarke","AL","Alabama"
"14",1027,"Clay","AL","Alabama"
"15",1029,"Cleburne","AL","Alabama"
"16",1031,"Coffee","AL","Alabama"
"17",1033,"Colbert","AL","Alabama"
"18",1035,"Conecuh","AL","Alabama"
"19",1037,"Coosa","AL","Alabama"
"20",1039,"Covington","AL","Alabama"
"21",1041,"Crenshaw","AL","Alabama"
"22",1043,"Cullman","AL","Alabama"
"23",1045,"Dale","AL","Alabama"
"24",1047,"Dallas","AL","Alabama"
"25",1049,"DeKalb","AL","Alabama"
"26",1051,"Elmore","AL","Alabama"
"27",1053,"Escambia","AL","Alabama"
"28",1055,"Etowah","AL","Alabama"
"29",1057,"Fayette","AL","Alabama"
"30",1059,"Franklin","AL","Alabama"
"31",1061,"Geneva","AL","Alabama"
"32",1063,"Greene","AL","Alabama"
"33",1065,"Hale","AL","Alabama"
"34",1067,"Henry","AL","Alabama"
"35",1069,"Houston","AL","Alabama"
"36",1071,"Jackson","AL","Alabama"
"37",1073,"Jefferson","AL","Alabama"
"38",1075,"Lamar","AL","Alabama"
"39",1077,"Lauderdale","AL","Alabama"
"40",1079,"Lawrence","AL","Alabama"
"41",1081,"Lee","AL","Alabama"
"42",1083,"Limestone","AL","Alabama"
"43",1085,"Lowndes","AL","Alabama"
"44",1087,"Macon","AL","Alabama"
"45",1089,"Madison","AL","Alabama"
"46",1091,"Marengo","AL","Alabama"
"47",1093,"Marion","AL","Alabama"
"48",1095,"Marshall","AL","Alabama"
"49",1097,"Mobile","AL","Alabama"
"50",1099,"Monroe","AL","Alabama"
"51",1101,"Montgomery","AL","Alabama"
"52",1103,"Morgan","AL","Alabama"
"53",1105,"Perry","AL","Alabama"
"54",1107,"Pickens","AL","Alabama"
"55",1109,"Pike","AL","Alabama"
"56",1111,"Randolph","AL","Alabama"
"57",1113,"Russell","AL","Alabama"
"58",1115,"St. Clair","AL","Alabama"
"59",1117,"Shelby","AL","Alabama"
"60",1119,"Sumter","AL","Alabama"
"61",1121,"Talladega","AL","Alabama"
"62",1123,"Tallapoosa","AL","Alabama"
"63",1125,"Tuscaloosa","AL","Alabama"
"64",1127,"Walker","AL","Alabama"
"65",1129,"Washington","AL","Alabama"
"66",1131,"Wilcox","AL","Alabama"
"67",1133,"Winston","AL","Alabama"
"68",2013,"Aleutians East Borough","AK","Alaska"
"69",2016,"Aleutians West Census Area","AK","Alaska"
"70",2020,"Anchorage Municipality","AK","Alaska"
"71",2050,"Bethel Census Area","AK","Alaska"
"72",2060,"Bristol Bay Borough","AK","Alaska"
"73",2068,"Denali Borough","AK","Alaska"
"74",2070,"Dillingham Census Area","AK","Alaska"
"75",2090,"Fairbanks North Star Borough","AK","Alaska"
"76",2100,"Haines Borough","AK","Alaska"
"77",2105,"Hoonah-Angoon Census Area","AK","Alaska"
"78",2110,"Juneau City and Borough","AK","Alaska"
"79",2122,"Kenai Peninsula Borough","AK","Alaska"
"80",2130,"Ketchikan Gateway Borough","AK","Alaska"
"81",2150,"Kodiak Island Borough","AK","Alaska"
"82",2158,"Kusilvak Census Area","AK","Alaska"
"83",2164,"Lake and Peninsula Borough","AK","Alaska"
"84",2170,"Matanuska-Susitna Borough","AK","Alaska"
"85",2180,"Nome Census Area","AK","Alaska"
"86",2185,"North Slope Borough","AK","Alaska"
"87",2188,"Northwest Arctic Borough","AK","Alaska"
"88",2195,"Petersburg Borough","AK","Alaska"
"89",2198,"Prince of Wales-Hyder Census Area","AK","Alaska"
"90",2220,"Sitka City and Borough","AK","Alaska"
"91",2230,"Skagway Municipality","AK","Alaska"
"92",2240,"Southeast Fairbanks Census Area","AK","Alaska"
"93",2261,"Valdez-Cordova Census Area","AK","Alaska"
"94",2270,"Wade Hampton Census Area","AK","Alaska"
"95",2275,"Wrangell City and Borough","AK","Alaska"
"96",2282,"Yakutat City and Borough","AK","Alaska"
"97",2290,"Yukon-Koyukuk Census Area","AK","Alaska"
"98",4001,"Apache","AZ","Arizona"
"99",4003,"Cochise","AZ","Arizona"
"100",4005,"Coconino","AZ","Arizona"
"101",4007,"Gila","AZ","Arizona"
"102",4009,"Graham","AZ","Arizona"
"103",4011,"Greenlee","AZ","Arizona"
"104",4012,"La Paz","AZ","Arizona"
"105",4013,"Maricopa","AZ","Arizona"
"106",4015,"Mohave","AZ","Arizona"
"107",4017,"Navajo","AZ","Arizona"
"108",4019,"Pima","AZ","Arizona"
"109",4021,"Pinal","AZ","Arizona"
"110",4023,"Santa Cruz","AZ","Arizona"
"111",4025,"Yavapai","AZ","Arizona"
"112",4027,"Yuma","AZ","Arizona"
"113",5001,"Arkansas","AR","Arkansas"
"114",5003,"Ashley","AR","Arkansas"
"115",5005,"Baxter","AR","Arkansas"
"116",5007,"Benton","AR","Arkansas"
"117",5009,"Boone","AR","Arkansas"
"118",5011,"Bradley","AR","Arkansas"
"119",5013,"Calhoun","AR","Arkansas"
"120",5015,"Carroll","AR","Arkansas"
"121",5017,"Chicot","AR","Arkansas"
"122",5019,"Clark","AR","Arkansas"
"123",5021,"Clay","AR","Arkansas"
"124",5023,"Cleburne","AR","Arkansas"
"125",5025,"Cleveland","AR","Arkansas"
"126",5027,"Columbia","AR","Arkansas"
"127",5029,"Conway","AR","Arkansas"
"128",5031,"Craighead","AR","Arkansas"
"129",5033,"Crawford","AR","Arkansas"
"130",5035,"Crittenden","AR","Arkansas"
"131",5037,"Cross","AR","Arkansas"
"132",5039,"Dallas","AR","Arkansas"
"133",5041,"Desha","AR","Arkansas"
"134",5043,"Drew","AR","Arkansas"
"135",5045,"Faulkner","AR","Arkansas"
"136",5047,"Franklin","AR","Arkansas"
"137",5049,"Fulton","AR","Arkansas"
"138",5051,"Garland","AR","Arkansas"
"139",5053,"Grant","AR","Arkansas"
"140",5055,"Greene","AR","Arkansas"
"141",5057,"Hempstead","AR","Arkansas"
"142",5059,"Hot Spring","AR","Arkansas"
"143",5061,"Howard","AR","Arkansas"
"144",5063,"Independence","AR","Arkansas"
"145",5065,"Izard","AR","Arkansas"
"146",5067,"Jackson","AR","Arkansas"
"147",5069,"Jefferson","AR","Arkansas"
"148",5071,"Johnson","AR","Arkansas"
"149",5073,"Lafayette","AR","Arkansas"
"150",5075,"Lawrence","AR","Arkansas"
"151",5077,"Lee","AR","Arkansas"
"152",5079,"Lincoln","AR","Arkansas"
"153",5081,"Little River","AR","Arkansas"
"154",5083,"Logan","AR","Arkansas"
"155",5085,"Lonoke","AR","Arkansas"
"156",5087,"Madison","AR","Arkansas"
"157",5089,"Marion","AR","Arkansas"
"158",5091,"Miller","AR","Arkansas"
"159",5093,"Mississippi","AR","Arkansas"
"160",5095,"Monroe","AR","Arkansas"
"161",5097,"Montgomery","AR","Arkansas"
"162",5099,"Nevada","AR","Arkansas"
"163",5101,"Newton","AR","Arkansas"
"164",5103,"Ouachita","AR","Arkansas"
"165",5105,"Perry","AR","Arkansas"
"166",5107,"Phillips","AR","Arkansas"
"167",5109,"Pike","AR","Arkansas"
"168",5111,"Poinsett","AR","Arkansas"
"169",5113,"Polk","AR","Arkansas"
"170",5115,"Pope","AR","Arkansas"
"171",5117,"Prairie","AR","Arkansas"
"172",5119,"Pulaski","AR","Arkansas"
"173",5121,"Randolph","AR","Arkansas"
"174",5123,"St. Francis","AR","Arkansas"
"175",5125,"Saline","AR","Arkansas"
"176",5127,"Scott","AR","Arkansas"
"177",5129,"Searcy","AR","Arkansas"
"178",5131,"Sebastian","AR","Arkansas"
"179",5133,"Sevier","AR","Arkansas"
"180",5135,"Sharp","AR","Arkansas"
"181",5137,"Stone","AR","Arkansas"
"182",5139,"Union","AR","Arkansas"
"183",5141,"Van Buren","AR","Arkansas"
"184",5143,"Washington","AR","Arkansas"
